Target,Hiretype,Title,Age,Original State,PinCode,Source,IT,Joining Center,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided
OfferDeclined,New Employee,Ms,27.43287671,Karnataka,560036,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,15%,0,0,0,1,0
OfferDeclined,New Employee,Ms,30.11506849,Karnataka,560043,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,41%,0,0,0,1,0
OfferDeclined,New Employee,Mr,32.45753425,Karnataka,560048,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,0,0,24%,0,0,0,1,1
Joined,New Employee,Mr,38.33150685,Karnataka,560076,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,0,0,57%,0,0,0,1,1
Joined,New Employee,Mr,27.24109589,Karnataka,560034,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,0,23%,0,0,0,1,0
OfferDeclined,New Employee,Mr,30.10136986,Karnataka,560029,EMPLOYEE REFERRAL,1,Bangalore,42,FALSE,2,Grad,0,0,21%,0,0,0,1,0
OfferDeclined,New Employee,Ms,26.60547945,Karnataka,577101,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,0,20%,0,0,0,1,0
OfferDeclined,New Employee,Mr,30.34520548,Karnataka,560079,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,32%,0,0,0,1,0
OfferDeclined,New Employee,Ms,27.33150685,Karnataka,560037,PORTAL,1,Bangalore,44,FALSE,2,Grad,0,0,6%,0,0,0,1,0
OfferDeclined,New Employee,Ms,28.55890411,Karnataka,560073,PORTAL,1,Bangalore,44,FALSE,2,Post Grad,0,0,31%,0,0,0,1,0
Joined,New Employee,Mr,28.92328767,Karnataka,560024,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,31%,0,0,0,1,0
OfferDeclined,New Employee,Mr,33.78082192,Telangana,500025,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,36%,0,0,0,1,1
Joined,New Employee,Ms,32.34246575,Karnataka,560075,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,1,0,29%,0,0,0,1,0
OfferDeclined,New Employee,Mr,37.17534247,Karnataka,560043,PORTAL,1,Bangalore,42,FALSE,2,Post Grad,0,0,7%,0,0,0,1,0
Joined,Transfer,Mr,27.91780822,Tamil Nadu,600017,GDS LEAP,0,Bangalore,44,FALSE,2,Grad,1,0,5%,0,1,0,1,0
Joined,New Employee,Mr,33.94246575,Haryana,122101,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,0,38%,0,0,0,1,1
OfferDeclined,New Employee,Mr,30.83287671,New Delhi,110019,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,1,0,30%,0,0,0,1,1
OfferDeclined,New Employee,Mr,28.53972603,New Delhi,110016,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,0,0,29%,0,0,0,1,1
Joined,New Employee,Ms,28.71506849,Karnataka,560102,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,0,0,45%,0,0,0,1,0
OfferDeclined,New Employee,Mr,31.41643836,Telangana,500008,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,0,0,32%,0,0,0,1,0
Joined,New Employee,Ms,32.08493151,Karnataka,560066,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,0,0,32%,0,0,0,1,0
Joined,New Employee,Ms,28.90958904,Tamil Nadu,600052,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,40%,0,0,0,1,1
OfferDeclined,New Employee,Mr,30.26849315,Karnataka,560093,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,27%,0,0,0,1,1
Joined,New Employee,Mr,31.57808219,Kerala,683519,EMPLOYEE REFERRAL,1,Kochi,42,FALSE,2,Grad,0,0,27%,0,0,0,1,0
OfferDeclined,New Employee,Mr,30.11506849,Kerala,695002,EMPLOYEE REFERRAL,1,Kochi,42,FALSE,2,Grad,0,0,16%,0,0,0,1,0
Joined,New Employee,Mr,36.59726027,Karnataka,560016,CONSULTANCY,0,Bangalore,32,FALSE,2,MBA,0,0,30%,0,0,0,1,0
OfferDeclined,New Employee,Mr,26.72054795,Karnataka,560037,EMPLOYEE REFERRAL,1,Bangalore,44,FALSE,2,Grad,0,0,35%,0,0,0,1,0
Joined,New Employee,Ms,30.3369863,New Delhi,110032,CONSULTANCY,0,Gurgaon,42,FALSE,2,CA,0,0,33%,0,0,0,1,1
Joined,Re hire,Mr,33.04657534,Haryana,122001,PORTAL,0,Gurgaon,42,FALSE,2,Post Grad,1,0,41%,0,0,0,1,1
Joined,New Employee,Ms,29.76986301,New Delhi,110009,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,0,0,27%,0,0,0,1,1
Joined,New Employee,Ms,29.95068493,Karnataka,560095,EMPLOYEE REFERRAL,0,Chennai,42,FALSE,2,Grad,0,0,42%,0,0,0,1,0
OfferDeclined,New Employee,Mr,35.56712329,Karnataka,560062,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,12%,0,0,0,1,0
OfferDeclined,New Employee,Mr,26.82739726,West Bengal,700154,PORTAL,0,Bangalore,44,FALSE,2,Grad,0,0,24%,0,0,0,1,0
Joined,New Employee,Mr,26.81917808,Karnataka,560061,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,1,0,23%,0,0,0,1,0
Joined,New Employee,Ms,37.05479452,Maharashtra,400072,PORTAL,0,Bangalore,32,FALSE,2,Grad,0,0,44%,0,0,0,1,1
Joined,New Employee,Mr,36.00273973,Jammu and Kashmir,180002,CONSULTANCY,0,Bangalore,42,FALSE,2,Grad,0,0,23%,0,1,0,1,1
Joined,New Employee,Mr,33.81643836,Maharashtra,400063,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,0,33%,0,0,0,1,1
Joined,New Employee,Ms,28.54794521,Uttar Pradesh,201301,EMPLOYEE REFERRAL,0,Gurgaon,44,FALSE,2,CA,0,0,19%,0,0,0,1,0
Joined,New Employee,Mr,29.89863014,Karnataka,560037,PORTAL,0,Gurgaon,44,FALSE,2,CA,1,0,26%,0,0,0,1,0
Joined,New Employee,Ms,27.28493151,Uttar Pradesh,201309,PORTAL,0,Gurgaon,44,FALSE,2,Grad,0,0,11%,0,0,0,1,0
Joined,New Employee,Mr,27.53150685,Maharashtra,400030,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,MBA,0,0,28%,0,0,0,1,0
Joined,New Employee,Ms,30.27945205,Maharashtra,400103,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,24%,0,0,0,1,0
Joined,New Employee,Mr,26.4109589,Karnataka,560041,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,MBA,1,0,27%,0,0,0,1,0
Joined,New Employee,Ms,33.57260274,New Delhi,110075,CONSULTANCY,0,Gurgaon,42,FALSE,2,Grad,0,0,31%,0,0,0,1,1
Joined,New Employee,Mr,31.11506849,Karnataka,560061,EMPLOYEE REFERRAL,0,Bangalore,44,FALSE,2,Grad,0,0,18%,0,0,0,1,0
OfferDeclined,New Employee,Mr,31.70136986,West Bengal,700028,PORTAL,0,Bangalore,42,FALSE,2,Grad,1,0,41%,0,0,0,1,0
Joined,New Employee,Mr,32.16986301,West Bengal,700025,PORTAL,0,Bangalore,42,FALSE,2,Grad,1,0,70%,0,0,0,1,0
OfferDeclined,New Employee,Ms,35.3369863,West Bengal,700012,PORTAL,0,Bangalore,42,FALSE,2,Post Grad,1,0,59%,0,0,0,1,0
OfferDeclined,New Employee,Ms,32.70136986,West Bengal,700034,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,0,0,40%,0,0,0,1,0
Joined,New Employee,Ms,31.70410959,Karnataka,560028,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Post Grad,1,0,28%,0,0,0,1,0
Joined,New Employee,Mr,27.14520548,Karnataka,562114,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Post Grad,1,0,52%,0,0,0,1,0
Joined,New Employee,Ms,27.60821918,West Bengal,700006,CONSULTANCY,0,Bangalore,42,FALSE,2,Post Grad,1,0,69%,0,0,0,1,0
Joined,New Employee,Mr,34.59726027,Karnataka,560038,PORTAL,0,Bangalore,32,FALSE,2,Grad,0,0,33%,0,0,0,1,1
OfferDeclined,New Employee,Ms,27.29863014,West Bengal,700039,CONSULTANCY,0,Bangalore,44,FALSE,2,Grad,1,0,58%,0,0,0,1,0
Joined,New Employee,Ms,27.25205479,West Bengal,700006,CONSULTANCY,0,Bangalore,44,FALSE,2,MBA,1,0,56%,0,0,0,1,0
Joined,New Employee,Mr,40.60547945,Maharashtra,400067,WALK-IN,0,Gurgaon,32,FALSE,2,CA,0,0,13%,0,0,0,1,0
Joined,New Employee,Mr,41.22191781,New Delhi,110075,WALK-IN,0,Gurgaon,32,FALSE,2,CA,0,0,13%,0,0,0,1,0
Joined,New Employee,Mr,32.76712329,Karnataka,560043,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,Grad,0,0,23%,0,0,0,1,0
OfferDeclined,New Employee,Mr,33.89589041,West Bengal,713206,PORTAL,0,Bangalore,42,FALSE,2,MBA,1,0,50%,0,0,0,1,0
Joined,New Employee,Mr,36.08493151,West Bengal,700032,CONSULTANCY,0,Bangalore,42,FALSE,2,MBA,1,0,47%,0,0,0,1,0
Joined,New Employee,Mr,35.12328767,Haryana,122001,CONSULTANCY,0,Gurgaon,42,FALSE,2,Post Grad,1,0,31%,0,0,0,1,0
Joined,Transfer,Mr,30.56164384,England,3,TRANSFER,0,Gurgaon,32,FALSE,2,Grad,1,0,100%,0,0,0,1,0
Joined,New Employee,Mr,33.30684932,Haryana,122001,CONSULTANCY,0,Gurgaon,42,FALSE,2,MBA,0,0,42%,0,0,0,1,0
Joined,New Employee,Mr,36.21369863,West Bengal,700055,CONSULTANCY,0,Bangalore,32,FALSE,2,MBA,1,0,37%,0,0,0,1,0
Joined,New Employee,Mr,21.22739726,Karnataka,560010,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,20.51780822,Uttar Pradesh,283204,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,21.7260274,Kerala,682304,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,21.77808219,Karnataka,560011,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,24.75616438,Karnataka,560019,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,21.76438356,Karnataka,560084,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,22.88219178,Karnataka,560001,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,21.43561644,Tamil Nadu,636002,CAMPUS,0,Bangalore,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,22.31232877,Tamil Nadu,632007,CAMPUS,0,Chennai,4,FALSE,1,Post Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,25.22739726,West Bengal,700156,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,Re hire,Mr,24.56438356,Karnataka,560054,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,24.50136986,Karnataka,560043,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,22.88767123,Karnataka,560098,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,21.25753425,Tamil Nadu,600100,CAMPUS,0,Chennai,4,FALSE,1,Grad,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,24.02465753,Karnataka,560015,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,23.11506849,West Bengal,700108,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Ms,23.63835616,Karnataka,560076,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
Joined,New Employee,Mr,23.69315068,Karnataka,560065,CAMPUS,0,Bangalore,4,FALSE,1,MBA,0,0,100%,0,0,1,1,0
OfferDeclined,Re hire,Mr,31.38356164,Telangana,500049,EMPLOYEE REFERRAL,0,Bangalore,42,FALSE,2,MBA,1,0,37%,0,0,0,1,0
OfferDeclined,New Employee,Mr,30.23835616,Karnataka,560076,PORTAL,1,Bangalore,42,FALSE,2,Grad,0,0,22%,0,0,0,1,0
Joined,New Employee,Mr,27.16164384,Karnataka,560093,PORTAL,0,Bangalore,42,FALSE,2,Grad,0,0,39%,0,0,0,1,0
Joined,New Employee,Mr,26.96164384,Karnataka,560077,PORTAL,0,Bangalore,44,FALSE,2,Post Grad,0,0,33%,0,0,0,1,0
Joined,Re hire,Ms,24.44657534,Karnataka,560017,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Ms,22.10958904,Karnataka,560037,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,Re hire,Ms,21.44383562,Tamil Nadu,600014,CAMPUS,0,Chennai,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
Joined,New Employee,Mr,22.16712329,Karnataka,560094,CAMPUS,0,Bangalore,44,FALSE,2,Grad,0,0,100%,0,0,0,1,0
