OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
Joined,OfferAccepted,New Employee,XE020M39949,1,32.30958904,Karnataka,560075,EMPLOYEE REFERRAL,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,1,0,0.29,0,0,0,1,0,23-07-2018,23-07-2018,1,1,4,NA,16-10-2019,16-10-2019 05:30,1,1,6,1,2,0,2,7
OfferDeclined,InductionNoShow,New Employee,XE020M39949,0,37.14246575,Karnataka,560043,PORTAL,Tax - TTT,1,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,0,0,0.07,0,0,0,1,0,16-07-2018,NA,0,1,4,NA,16-10-2019,16-10-2019 05:30,1,3,4,1,2,0,1,7
Joined,OfferAccepted,Transfer,XE020M39949,0,27.88493151,Tamil Nadu,600017,GDS LEAP,PAS,0,Bangalore,BLR RMZ/All Entities/NON-SEZ,44,FALSE,2,Grad,1,0,0.05,0,1,0,1,0,01-10-2018,01-10-2018,1,3,4,NA,16-10-2019,16-10-2019 05:30,2,5,2,1,1,0,2,10
Joined,OfferAccepted,New Employee,XE020M42382,1,28.87671233,Tamil Nadu,600052,EMPLOYEE REFERRAL,Indirect,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.4,0,0,0,1,1,20-08-2018,20-08-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,2,1,5,1,2,0,2,8
Joined,OfferAccepted,New Employee,XE020M42382,1,30.30410959,New Delhi,110032,CONSULTANCY,GCR,0,Gurgaon,GGN UCP/All Entities/Non-SEZ,42,FALSE,2,CA,0,0,0.33,0,0,0,1,1,27-08-2018,27-08-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,6,2,1,2,2,0,4,8
Joined,OfferAccepted,New Employee,XE020M42382,0,35.96986301,Jammu and Kashmir,180002,CONSULTANCY,PAS,0,Bangalore,BLR RMZ/All Entities/NON-SEZ,42,FALSE,2,Grad,0,0,0.23,0,1,0,1,1,15-10-2018,15-10-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,9,2,2,1,2,0,2,10
Joined,OfferAccepted,New Employee,XE020M38015,0,27.49863014,Maharashtra,400030,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,0,0,0.28,0,0,0,1,0,09-07-2018,09-07-2018,1,1,1,NA,16-10-2019,16-10-2019 05:30,9,1,2,1,1,0,3,7
Joined,OfferAccepted,New Employee,XE020M38015,1,30.24657534,Maharashtra,400103,EMPLOYEE REFERRAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Grad,0,0,0.24,0,0,0,1,0,06-08-2018,06-08-2018,1,1,1,NA,16-10-2019,16-10-2019 05:30,9,1,2,1,2,0,2,8
OfferDeclined,OfferDeclined,New Employee,XE020M51545,1,35.30410959,West Bengal,700012,PORTAL,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,0.59,0,0,0,1,0,06-08-2018,NA,0,1,7,NA,16-10-2019,16-10-2019 05:30,5,3,2,1,2,0,1,8
Joined,OfferAccepted,New Employee,XE020M51545,1,27.57534247,West Bengal,700006,CONSULTANCY,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,Post Grad,1,0,0.69,0,0,0,1,0,06-08-2018,06-08-2018,1,1,7,NA,16-10-2019,16-10-2019 05:30,5,2,2,1,2,0,1,8
