"","OfferId","OverallStatus","Status","Hiretype","RecruiterGPN","Title","Age","Original State","PinCode","Source","Department","IT","Joining Center","Facility","Rank","IsRotationalShift","NoticePeriod","Qualification1","Big four","DAndI","hike%","JoiningBonus","GoodsTransportationTravelEligibility","Stipend","Experienced","IsNoticePeriodReimbursementProvided","ExpectedJoiningDate","ActualJoiningDate","Target","dum_hiretype","dum_rec","dum_title","date","date1","dum_State","dum_Source","dum_Department","dum_Joining_Center","dum_Rank","dummy_IsRotationalShift","dum_Qual","joiningmonth"
"1199",32137,"Joined","OfferAccepted","New Employee","XE020M39949",0,24.49589041,"Karnataka",560068,"PORTAL","Indirect",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2018-12-10,2018-12-10,1,1,4,NA,2019-10-16,2019-10-16 05:30:00,1,3,5,1,1,0,1,12
"1200",38512,"OfferDeclined","OfferDeclined","New Employee","XE020M32824",1,30.31232877,"Karnataka",560043,"PORTAL","Tax Operation Support",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.22,0,0,0,1,"0",2019-03-04,NA,0,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,3,8,1,1,0,1,3
"1201",39379,"Joined","OfferAccepted","New Employee","XE020M38015",1,23.11232877,"Uttar Pradesh",201001,"EMPLOYEE REFERRAL","Indirect",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2019-03-18,2019-03-18,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,9,1,5,2,1,0,1,3
"1202",35973,"Joined","OfferAccepted","New Employee","XE020M24506",0,24.45205479,"Karnataka",580030,"PORTAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,1,0,1,"0",2019-02-11,2019-02-11,1,1,14,NA,2019-10-16,2019-10-16 05:30:00,1,3,1,1,1,0,1,2
"1203",27290,"Joined","OfferAccepted","New Employee","XE020M32654",0,28.5890411,"Kerala",682002,"CONSULTANCY","Tax Chat",0,"Kochi","KOC Carnival/EYGDS/SEZ-SFT",42,FALSE,2,"Grad",1,0,0.31,0,1,0,1,"0",2018-10-01,2018-10-01,1,1,9,NA,2019-10-16,2019-10-16 05:30:00,3,2,3,4,2,0,2,10
"1204",40611,"Joined","OfferAccepted","New Employee","XE020M32824",1,27.13972603,"Karnataka",560047,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.23,0,0,0,1,"0",2019-04-22,2019-04-22,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,1,4
"1205",32278,"Joined","OfferAccepted","Transfer","XE020M32824",0,40.43287671,"Kerala",682307,"GDS LEAP","Tax Law Services",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0,0,1,0,0,"0",2019-01-01,2019-01-01,1,3,3,NA,2019-10-16,2019-10-16 05:30:00,3,5,8,1,2,0,1,1
"1206",28423,"Joined","OfferAccepted","New Employee","XE020M38015",0,29.06849315,"Telangana",500084,"PORTAL","Tax Chat",0,"Kochi","KOC Carnival/EYGDS/SEZ-SFT",42,FALSE,2,"Post Grad",1,0,0.31,0,1,0,1,"0",2018-11-05,2018-11-05,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,9,3,3,4,2,0,1,11
"1207",22370,"Joined","OfferAccepted","New Employee","XE020M38015",1,28.09589041,"New Delhi",110018,"PORTAL","PAS",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",44,FALSE,2,"Post Grad",1,0,0.19,0,0,0,1,"0",2018-07-16,2018-07-16,1,1,1,NA,2019-10-16,2019-10-16 05:30:00,6,3,2,2,1,0,1,7
"1208",37587,"OfferDeclined","OfferDeclined","New Employee","XE020M42382",1,26.55068493,"West Bengal",700103,"CONSULTANCY","GDS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.29,0,0,0,1,"0",2019-04-08,NA,0,1,2,NA,2019-10-16,2019-10-16 05:30:00,5,2,7,1,2,0,1,4
"1209",28116,"Joined","OfferAccepted","New Employee","XE020M32824",0,21.55342466,"Karnataka",560097,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Grad",0,0,0,0,0,0,0,"0",2018-08-20,2018-08-20,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,2,8
"1210",28280,"OfferDeclined","OfferDeclined","New Employee","XE020M32654",1,37.91232877,"Kerala",683517,"CONSULTANCY","Tax Chat",0,"Kochi","KOC Carnival/EYGDS/SEZ-SFT",32,FALSE,2,"Post Grad",1,0,0.25,0,0,0,1,"0",2018-10-29,NA,0,1,9,NA,2019-10-16,2019-10-16 05:30:00,3,2,3,4,4,0,1,10
"1211",26710,"OfferDeclined","OfferDeclined","New Employee","XE020M36003",1,24.32876712,"Kerala",686104,"CAMPUS","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,1,0,0,0,1,"0",2018-11-05,NA,0,1,6,NA,2019-10-16,2019-10-16 05:30:00,3,4,2,1,1,0,1,11
"1212",33673,"OfferDeclined","OfferDeclined","New Employee","XE020M51545",0,28.57808219,"Tamil Nadu",631501,"PORTAL","Tax - TTT",1,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.28,0,1,0,1,"0",2019-02-25,NA,0,1,7,NA,2019-10-16,2019-10-16 05:30:00,2,3,4,1,1,0,1,2
"1213",29841,"Joined","OfferAccepted","New Employee","XE020M42382",0,31.19452055,"West Bengal",700028,"CONSULTANCY","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.31,0,1,0,1,"0",2018-11-19,2018-11-19,1,1,2,NA,2019-10-16,2019-10-16 05:30:00,5,2,3,1,2,0,1,11
"1214",28992,"OfferDeclined","OfferDeclined","New Employee","XE020M32824",0,32.10136986,"Karnataka",560037,"EMPLOYEE REFERRAL","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",0,0,0.24,0,0,0,1,"0",2018-12-03,NA,0,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,1,3,1,2,0,1,12
"1215",37333,"OfferDeclined","OfferDeclined","New Employee","XE020M38015",0,26.7260274,"Karnataka",560033,"EMPLOYEE REFERRAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.32,0,0,0,1,"0",2019-04-01,NA,0,1,1,NA,2019-10-16,2019-10-16 05:30:00,1,1,1,1,1,0,1,4
"1216",32745,"Joined","OfferAccepted","New Employee","XE020M32654",1,31.15342466,"Karnataka",560068,"CONSULTANCY","Tax Chat",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.24,0,0,0,1,"0",2019-01-28,2019-01-28,1,1,9,NA,2019-10-16,2019-10-16 05:30:00,1,2,3,1,2,0,1,1
"1217",27132,"Joined","OfferAccepted","Re hire","XE020M42382",0,35.3369863,"Haryana",122002,"WALK-IN","GCR",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",32,FALSE,2,"CA",0,0,0.18,0,0,0,1,"0",2018-09-03,2018-09-03,1,2,2,NA,2019-10-16,2019-10-16 05:30:00,7,5,1,2,4,0,4,9
"1218",27263,"Joined","OfferAccepted","Transfer","XE020M42382",0,29.89041096,"Georgia",30345,"TRANSFER","PAS",0,"Gurgaon","GGN UCP/All Entities/Non-SEZ",42,FALSE,2,"MBA",1,0,0,0,0,0,0,"0",2018-08-06,2018-08-06,1,3,2,NA,2019-10-16,2019-10-16 05:30:00,9,5,2,2,2,0,3,8
"1219",31880,"Joined","OfferAccepted","New Employee","XE020M32824",1,25.8109589,"Karnataka",560092,"PORTAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.1,0,0,0,1,"0",2018-11-26,2018-11-26,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,3,1,1,1,0,1,11
"1220",39236,"Joined","OfferAccepted","New Employee","XE020M32824",0,24.96164384,"Karnataka",560090,"PORTAL","GCR",0,"Bangalore","BLR CORAL/EYGDS/SEZ",44,FALSE,2,"Post Grad",0,0,0.19,0,0,0,1,"0",2019-04-08,2019-04-08,1,1,3,NA,2019-10-16,2019-10-16 05:30:00,1,3,1,1,1,0,1,4
"1221",35261,"OfferDeclined","OfferDeclined","New Employee","XE020M42382",0,28.72054795,"Karnataka",560078,"EMPLOYEE REFERRAL","PAS",0,"Bangalore","BLR CORAL/EYGDS/SEZ",42,FALSE,2,"Post Grad",1,0,0.23,0,0,0,1,"0",2019-03-04,NA,0,1,2,NA,2019-10-16,2019-10-16 05:30:00,1,1,2,1,2,0,1,3
